round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 14 -28.5999774933 18220 user
17 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 5 -9432.39998817 4360 user
17 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 14 -9361.6001606 4828 user
17 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -9365.70000648 4225 user
17 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -12359.7998619 1460 user
17 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 19 -13412.3001099 1193 user
17 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 0 -11406.899929 2915 user
17 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 9 -6210.69979668 7204 user
17 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -9281.10003471 5374 user
17 usuario3 C ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 0 -2117.30003357 11930 user
17 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] C 14 -11337.8000259 2246 user
17 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -7241.79983139 6359 user
17 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -10328.1002045 2743 user
17 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 19 -37.4000072479 14021 user
17 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -5271.6999054 8567 user
17 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -12365.8998013 2165 user
18 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 14 -18540.6999588 8781 user
18 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 4 -40.8999919891 27758 user
18 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 19 -19576.9000053 6998 user
18 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 5 -12375.2000332 15116 user
18 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 9 -25882.2000027 1252 user
18 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -23697.5998878 3258 user
18 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 5 -23683.5999489 3431 user
18 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 10 -22651.0000229 4126 user
18 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -21735.5999947 4471 user
18 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -19557.5997829 6745 user
18 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 14 -15455.1000595 11843 user
18 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 9 -14466.7000771 12896 user
18 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 0 -24695.499897 2731 user
18 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 14 -13401.599884 13547 user
18 usuario1 C ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 0 -25081.9001198 2173 user
18 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] C 19 -16510.3001595 10418 user
19 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 19 -15455.6000233 6061 user
19 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 4 -14642.0998573 7052 user
19 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 9 -43.6999797821 21878 user
19 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 5 -14426.500082 6715 user
19 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 5 -19623.1000423 2812 user
19 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 9 -19559.5998764 2403 user
19 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 9 -17511.4998817 3737 user
19 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 10 -17518.1000233 5349 user
19 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -19552.9000759 2968 user
19 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -17592.1001434 4482 user
19 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -10309.2999458 11589 user
19 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 9 -16486.2000942 5233 user
19 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 0 -19624.2001057 2161 user
19 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 9 -1078.799963 20634 user
19 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -18918.8997746 2348 user
19 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -17568.0999756 3911 user
20 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 9 -28.3000469208 14584 user
20 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 4 -12676.7001152 1891 user
20 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -2104.20012474 13663 user
20 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -12376.8999577 2716 user
20 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 5 -13421.200037 1182 user
20 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 9 -11452.7001381 3823 user
20 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 9 -12377.4001598 2799 user
20 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 5 -10322.9000568 3862 user
20 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -13415.0998592 1868 user
20 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -11340.0001526 4063 user
20 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -3142.69995689 12072 user
20 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 9 -7248.00014496 8155 user
20 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 4 -12378.2999516 2662 user
20 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 4 -1084.1999054 13788 user
20 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -14674.2999554 1082 user
20 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 4 -13558.7999821 1991 user
21 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 10 -33.6000919342 12914 user
21 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 19 -11496.69981 1931 user
21 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -6212.09979057 6636 user
21 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -12379.999876 1192 user
21 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 10 -12455.8000565 838 user
21 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 5 -10329.4000626 2013 user
21 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 9 -10327.4002075 3081 user
21 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -10317.2001839 3510 user
21 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -10325.7000446 1956 user
21 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 14 -6205.3000927 7112 user
21 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -8283.49995613 4491 user
21 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -5181.79988861 7452 user
21 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 10 -6213.80019188 6912 user
21 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 5 -3127.20012665 10152 user
21 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -10577.1000385 1632 user
21 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -3123.39997292 9794 user
22 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 20 -10325.0999451 9566 user
22 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 10 -15668.200016 2706 user
22 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 14 -33.0998897552 18595 user
22 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 5 -16490.4000759 2545 user
22 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 5 -17585.2999687 877 user
22 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 14 -17506.8001747 2110 user
22 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -15453.2999992 2989 user
22 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 19 -14439.5999908 3641 user
22 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 19 -13405.9998989 5670 user
22 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -14463.5999203 4556 user
22 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -9299.0000248 9421 user
22 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -16494.8999882 2596 user
22 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 10 -16493.5998917 2551 user
22 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 10 -7264.60003853 11473 user
22 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -16763.9000416 2607 user
22 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 19 -13418.0998802 5876 user
23 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 24 -12378.7000179 9929 user
23 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -20949.5999813 2829 user
23 usuario15 C ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 15 -16478.8999557 7078 user
23 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] C 5 -18620.2998161 3595 user
23 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -21693.5999393 1769 user
23 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 19 -20764.1999722 1552 user
23 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 5 -16457.2000504 6690 user
23 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 19 -4157.49979019 19444 user
23 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -21669.0001488 1910 user
23 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -19691.9999123 3112 user
23 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -5192.79980659 18302 user
23 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -16487.9999161 7113 user
23 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 0 -17508.300066 5125 user
23 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 14 -31.0001373291 23015 user
23 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 9 -19874.5000362 2611 user
23 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -20614.5999432 2494 user
24 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 19 -3131.70003891 12415 user
24 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -7333.70018005 6983 user
24 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 19 -1084.1999054 13967 user
24 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 0 -6227.19979286 9490 user
24 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -13418.2999134 1594 user
24 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 19 -12431.800127 2723 user
24 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 0 -10315.8998489 4440 user
24 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 19 -9296.80013657 5684 user
24 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -13401.900053 1390 user
24 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -10419.0001488 3880 user
24 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -8292.0999527 6133 user
24 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -7238.60001564 7652 user
24 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -12378.2999516 2878 user
24 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 5 -31.8999290466 14905 user
24 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -3170.59993744 12094 user
24 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -5194.39983368 9756 user
25 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 4 -21605.8001518 7826 user
25 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 4 -27203.400135 3094 user
25 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 9 -34.1000556946 29900 user
25 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -25716.4001465 3781 user
25 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 4 -27781.3000679 1666 user
25 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -28796.4000702 1463 user
25 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -24689.1999245 5845 user
25 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 4 -21600.5001068 8210 user
25 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -17511.2001896 12585 user
25 usuario3 C ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 0 -18566.4999485 11977 user
25 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] C 14 -19806.1001301 9789 user
25 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -27802.9999733 1790 user
25 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 4 -27943.8998699 1674 user
25 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 14 -17495.8000183 12337 user
25 usuario1 C ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 0 -27203.5000324 2833 user
25 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] C 9 -26819.8001385 2610 user
26 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 4 -19555.4001331 8826 user
26 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 9 -24954.9000263 3345 user
26 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -29.7999382019 27522 user
26 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -24695.6999302 3136 user
26 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 14 -27784.8000526 973 user
26 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 0 -25725.3000736 1885 user
26 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 14 -24704.0998936 3282 user
26 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 5 -24699.3000507 3276 user
26 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 9 -25722.4998474 2407 user
26 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -22624.8998642 5266 user
26 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -15457.7999115 12970 user
26 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 5 -25742.2997952 2516 user
26 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 4 -26777.60005 1947 user
26 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 4 -13402.6999474 14568 user
26 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -26213.2000923 2208 user
26 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -24697.4999905 3377 user
27 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 10 -18523.9999294 10723 user
27 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 10 -23959.3999386 4681 user
27 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 9 -32.4001312256 28503 user
27 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -28787.8000736 644 user
27 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -26742.000103 1719 user
27 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -24134.7000599 4533 user
27 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -23849.1001129 5256 user
27 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -17912.4000072 11405 user
27 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 14 -26753.9999485 1647 user
27 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -25911.9999409 2822 user
27 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -17535.5000496 12015 user
27 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -12391.9000626 16323 user
27 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 10 -23671.0000038 5154 user
27 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 10 -13409.6000195 16155 user
27 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -25267.6000595 3056 user
27 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -10314.1999245 19025 user
28 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 14 -18513.8998032 10335 user
28 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 10 -26208.1000805 2350 user
28 usuario15 C ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 10 -26.4999866486 29418 user
28 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] C 14 -17497.300148 11349 user
28 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -27761.7001534 1625 user
28 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 10 -25720.8001614 3848 user
28 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 10 -25762.1998787 2878 user
28 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 9 -24700.5999088 4109 user
28 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -26860.2998257 2807 user
28 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -24704.9999237 4341 user
28 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -17505.1000118 11401 user
28 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 9 -27794.4998741 1323 user
28 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] C 5 -22612.2000217 6037 user
28 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 14 -6209.10000801 22248 user
28 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 14 -26275.5000591 2930 user
28 usuario8 C ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 5 -20583.6999416 7701 user
29 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 19 -18525.3999233 9684 user
29 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 0 -26182.8999519 2733 user
29 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 9 -38.1999015808 28944 user
29 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -26794.8999405 2749 user
29 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -27779.2999744 1274 user
29 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 14 -26752.7000904 2286 user
29 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -25708.799839 3530 user
29 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -14413.20014 14094 user
29 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -25799.7000217 2652 user
29 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -26771.600008 2479 user
29 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -16481.6999435 11800 user
29 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -26768.6998844 1760 user
29 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 0 -25630.699873 4099 user
29 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 14 -11347.5000858 17397 user
29 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -26286.5998745 2877 user
29 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -25794.1999435 3372 user
30 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 14 -19539.4001007 8213 user
30 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 14 -20944.0999031 7010 user
30 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -31.7001342773 27954 user
30 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -24690.6998158 3215 user
30 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 5 -25753.9000511 2217 user
30 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 5 -24700.9000778 2756 user
30 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 9 -24691.2000179 3615 user
30 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -22656.3999653 5842 user
30 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -24691.2000179 3093 user
30 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 14 -25750.2999306 2658 user
30 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -18543.4000492 9647 user
30 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -24729.7000885 3781 user
30 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -23661.7999077 3948 user
30 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 5 -8268.30005646 19938 user
30 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -25220.7000256 2508 user
30 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -25918.4999466 1975 user
31 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 14 -19669.6999073 10460 user
31 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -22015.3000355 8732 user
31 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 14 -34.900188446 30047 user
31 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 0 -25719.5999622 3607 user
31 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 4 -28422.6999283 1824 user
31 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -28776.7999172 1730 user
31 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -27762.4998093 2359 user
31 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -23670.7999706 6469 user
31 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 4 -27768.5000896 2391 user
31 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -27789.2999649 2055 user
31 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -27908.4999561 1800 user
31 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -24709.9997997 5167 user
31 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -24700.3002167 4904 user
31 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 5 -4150.7999897 25653 user
31 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -27246.999979 2312 user
31 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -19569.3998337 11380 user
32 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 14 -21703.7000656 6770 user
32 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 14 -26407.0999622 3021 user
32 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 14 -35.2001190186 29375 user
32 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 0 -25708.7001801 4517 user
32 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -26762.5000477 2424 user
32 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 0 -27834.3000412 2098 user
32 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 9 -23684.0000153 5872 user
32 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 14 -23709.2001438 6463 user
32 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 14 -27770.9000111 2813 user
32 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 14 -26756.1001778 2949 user
32 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 14 -26782.4001312 3426 user
32 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -26768.1000233 3177 user
32 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -28794.3999767 2025 user
32 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 10 -25707.7000141 4466 user
32 usuario1 C ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 5 -29529.2999744 1387 user
32 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] C 24 -23658.8001251 5547 user
33 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 14 -21641.600132 7563 user
33 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 0 -25078.5000324 4162 user
33 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 14 -28.3999443054 29020 user
